"Date","Price","Open","High","Low","Vol.","Change %"
"07/26/2024","2,123.94","2,105.05","2,126.12","2,104.84","","0.81%"
"07/25/2024","2,106.82","2,103.57","2,110.43","2,086.25","","-0.70%"
"07/24/2024","2,121.60","2,116.70","2,129.46","2,110.94","","-0.55%"
"07/23/2024","2,133.25","2,138.27","2,148.14","2,129.64","","-0.22%"
"07/22/2024","2,137.87","2,126.19","2,146.18","2,126.19","","0.90%"
"07/19/2024","2,118.88","2,128.80","2,128.80","2,116.23","","-0.99%"
"07/18/2024","2,140.04","2,155.90","2,160.07","2,134.39","","-0.36%"
"07/17/2024","2,147.85","2,142.61","2,156.31","2,141.12","","-0.03%"
"07/16/2024","2,148.44","2,146.76","2,153.47","2,142.22","","-0.63%"
"07/15/2024","2,162.05","2,172.44","2,183.33","2,158.06","","-0.97%"
"07/12/2024","2,183.28","2,161.30","2,185.48","2,159.37","","1.18%"
"07/11/2024","2,157.78","2,144.59","2,165.45","2,139.38","","1.06%"
"07/10/2024","2,135.10","2,118.66","2,136.42","2,115.84","","0.98%"
"07/09/2024","2,114.30","2,129.60","2,134.92","2,110.40","","-1.06%"
"07/08/2024","2,136.92","2,132.27","2,152.44","2,131.51","","0.04%"
"07/05/2024","2,136.04","2,145.33","2,151.75","2,128.40","","-0.07%"
"07/04/2024","2,137.48","2,126.50","2,139.67","2,125.95","","0.60%"
"07/03/2024","2,124.68","2,108.65","2,128.12","2,105.79","","1.27%"
"07/02/2024","2,098.11","2,094.90","2,099.10","2,083.21","","-0.29%"
"07/01/2024","2,104.22","2,126.78","2,128.86","2,102.99","","0.42%"
"06/28/2024","2,095.46","2,101.57","2,105.94","2,091.64","","-0.17%"
"06/27/2024","2,099.07","2,103.80","2,108.89","2,096.66","","-0.19%"
"06/26/2024","2,102.97","2,122.41","2,129.94","2,095.87","","-0.72%"
"06/25/2024","2,118.14","2,124.57","2,124.57","2,112.35","","-0.45%"
"06/24/2024","2,127.71","2,105.56","2,134.11","2,105.26","","1.15%"
"06/21/2024","2,103.62","2,121.49","2,121.49","2,098.69","","-1.09%"
"06/20/2024","2,126.72","2,111.55","2,126.72","2,111.00","","0.67%"
"06/19/2024","2,112.47","2,112.47","2,117.04","2,107.72","","-0.08%"
"06/18/2024","2,114.26","2,110.14","2,116.92","2,098.99","","0.89%"
"06/17/2024","2,095.67","2,097.24","2,106.07","2,082.22","","0.33%"
"06/14/2024","2,088.81","2,119.44","2,119.98","2,079.78","","-1.69%"
"06/13/2024","2,124.71","2,153.93","2,156.62","2,118.81","","-1.96%"
"06/12/2024","2,167.13","2,129.12","2,170.18","2,129.12","","2.20%"
