"Date","Price","Open","High","Low","Vol.","Change %"
"08/06/2024","488.44","489.29","491.93","484.41","250.04M","0.29%"
"08/05/2024","487.05","493.48","493.48","479.83","340.07M","-2.17%"
"08/02/2024","497.85","509.89","509.89","496.86","277.54M","-2.73%"
"08/01/2024","511.83","517.75","517.98","511.20","228.02M","-1.23%"
"07/31/2024","518.18","514.28","519.42","514.28","191.95M","0.80%"
"07/30/2024","514.08","512.66","515.78","512.19","163.08M","0.45%"
"07/29/2024","511.79","513.68","515.65","511.48","151.50M","-0.20%"
"07/26/2024","512.83","508.24","513.36","508.23","149.44M","0.83%"
"07/25/2024","508.63","510.23","510.23","503.78","217.16M","-0.72%"
"07/24/2024","512.30","513.65","513.94","510.76","165.13M","-0.61%"
"07/23/2024","515.47","515.24","518.03","513.58","206.46M","0.13%"
"07/22/2024","514.79","511.23","516.76","511.23","192.64M","0.93%"
"07/19/2024","510.03","513.05","513.05","509.62","163.07M","-0.77%"
"07/18/2024","514.01","515.86","518.28","514.01","158.94M","-0.16%"
"07/17/2024","514.83","516.32","516.43","512.79","167.89M","-0.48%"
"07/16/2024","517.30","517.78","517.78","515.40","143.54M","-0.28%"
"07/15/2024","518.73","522.87","524.08","518.64","134.33M","-1.02%"
"07/12/2024","524.08","519.75","524.75","519.75","142.88M","0.88%"
"07/11/2024","519.51","517.36","520.62","516.86","157.80M","0.60%"
"07/10/2024","516.42","511.87","516.53","511.87","175.81M","0.91%"
"07/09/2024","511.76","515.60","516.47","511.13","199.25M","-0.90%"
"07/08/2024","516.43","516.57","519.80","515.56","164.97M","-0.03%"
"07/05/2024","516.60","518.29","520.30","515.18","183.18M","-0.18%"
"07/04/2024","517.54","514.87","518.32","514.87","127.22M","0.56%"
"07/03/2024","514.67","512.15","515.54","512.15","207.72M","0.74%"
"07/02/2024","510.91","512.11","512.11","508.08","169.96M","-0.42%"
"07/01/2024","513.04","513.82","517.14","512.68","162.11M","0.32%"
"06/28/2024","511.42","513.54","514.84","510.73","178.31M","-0.23%"
"06/27/2024","512.59","514.47","515.46","512.53","163.60M","-0.43%"
"06/26/2024","514.81","518.78","520.89","513.47","201.04M","-0.56%"
"06/25/2024","517.70","518.37","518.37","516.18","175.43M","-0.23%"
"06/24/2024","518.87","514.47","519.97","514.37","184.76M","0.73%"
"06/21/2024","515.11","518.23","518.51","513.94","420.26M","-0.73%"
"06/20/2024","518.91","514.61","518.91","514.47","209.72M","0.93%"
"06/19/2024","514.13","515.23","515.61","513.86","156.12M","-0.17%"
"06/18/2024","515.01","513.05","515.26","512.31","168.60M","0.69%"
"06/17/2024","511.49","511.98","514.63","508.78","185.11M","0.09%"
"06/14/2024","511.05","517.06","517.06","509.59","236.41M","-0.97%"
"06/13/2024","516.04","521.96","521.96","515.45","214.98M","-1.31%"
"06/12/2024","522.89","518.00","523.84","518.00","236.27M","1.08%"
"06/11/2024","517.29","522.35","523.46","515.65","225.47M","-0.93%"
"06/10/2024","522.16","522.35","522.35","518.94","170.98M","-0.27%"
"06/07/2024","523.55","525.25","525.59","520.67","171.41M","-0.22%"
"06/06/2024","524.68","523.10","525.55","523.10","185.23M","0.66%"
"06/05/2024","521.23","518.09","522.43","518.09","190.46M","0.81%"
"06/04/2024","517.05","519.35","519.35","515.14","246.54M","-0.54%"
"06/03/2024","519.85","520.31","522.95","519.13","256.10M","0.32%"
"05/31/2024","518.17","516.59","518.90","516.04","560.88M","0.32%"
"05/30/2024","516.50","513.00","516.84","512.46","284.25M","0.59%"
"05/29/2024","513.45","518.15","518.18","512.99","206.96M","-1.08%"
"05/28/2024","519.08","522.22","523.17","518.17","210.01M","-0.60%"
"05/27/2024","522.21","520.45","522.21","519.95","65.87M","0.32%"
"05/24/2024","520.57","520.04","521.05","517.11","181.26M","-0.19%"
"05/23/2024","521.56","521.38","523.73","520.74","240.46M","0.07%"
"05/22/2024","521.18","522.43","522.43","520.12","234.18M","-0.34%"
"05/21/2024","522.95","523.08","523.08","520.71","204.15M","-0.18%"
"05/20/2024","523.89","522.65","524.25","522.65","178.23M","0.18%"
"05/17/2024","522.94","522.51","523.32","521.17","232.12M","-0.13%"
"05/16/2024","523.62","524.93","525.33","523.18","213.28M","-0.21%"
"05/15/2024","524.71","522.35","525.20","522.35","262.13M","0.59%"
"05/14/2024","521.65","521.16","521.86","519.64","254.05M","0.15%"
"05/13/2024","520.86","521.02","521.33","519.84","204.68M","0.02%"
"05/10/2024","520.76","517.90","521.51","517.90","187.64M","0.77%"
"05/09/2024","516.77","515.01","517.22","514.88","211.51M","0.19%"
"05/08/2024","515.77","514.31","516.40","514.17","226.33M","0.34%"
"05/07/2024","514.02","509.81","514.15","509.81","244.59M","1.14%"
"05/06/2024","508.22","506.00","509.09","506.00","77.07M","0.53%"
"05/03/2024","505.52","503.20","508.20","503.20","","0.46%"
"05/02/2024","503.21","504.14","504.75","502.78","226.93M","-0.22%"
"05/01/2024","504.31","504.38","504.80","504.07","185.55M","-0.11%"
"04/30/2024","504.89","508.07","508.61","504.64","219.37M","-0.68%"
"04/29/2024","508.34","508.72","510.28","508.34","186.18M","0.07%"
"04/26/2024","507.98","503.53","508.92","503.53","208.94M","1.11%"
"04/25/2024","502.38","505.67","505.84","499.28","260.02M","-0.64%"
"04/24/2024","505.61","507.99","509.03","505.09","271.62M","-0.43%"
"04/23/2024","507.79","502.89","507.98","502.89","266.37M","1.09%"
"04/22/2024","502.31","499.30","503.15","499.30","228.49M","0.60%"
"04/19/2024","499.29","498.28","499.75","495.31","228.74M","-0.08%"
"04/18/2024","499.70","499.07","500.36","497.14","244.67M","0.24%"
