"Date","Price","Open","High","Low","Vol.","Change %"
"06/29/2020","3,326.33","3,284.14","3,345.64","3,266.55","31.30M","0.66%"
"06/26/2020","3,304.54","3,381.50","3,386.30","3,303.80","33.40M","-1.56%"
"06/25/2020","3,357.00","3,284.91","3,361.47","3,258.64","32.96M","1.68%"
"06/24/2020","3,301.53","3,406.98","3,410.47","3,301.53","32.76M","-3.85%"
"06/23/2020","3,433.88","3,404.65","3,457.70","3,395.04","35.54M","1.50%"
"06/22/2020","3,383.27","3,349.29","3,413.24","3,339.57","32.81M","0.20%"
"06/19/2020","3,376.57","3,437.55","3,439.03","3,376.57","112.35M","-1.10%"
"06/18/2020","3,413.96","3,429.80","3,477.88","3,383.10","41.97M","-0.78%"
"06/17/2020","3,440.91","3,440.38","3,493.25","3,420.28","41.39M","-0.20%"
"06/16/2020","3,447.65","3,405.06","3,495.34","3,388.73","51.41M","3.24%"
"06/15/2020","3,339.35","3,225.76","3,352.37","3,225.76","48.43M","1.30%"
"06/12/2020","3,296.63","3,240.55","3,353.89","3,215.29","49.36M","0.76%"
"06/11/2020","3,271.68","3,355.32","3,358.93","3,271.68","57.63M","-4.97%"
"06/10/2020","3,442.66","3,497.49","3,533.69","3,433.22","42.66M","-1.28%"
"06/09/2020","3,487.33","3,531.75","3,543.40","3,445.25","62.35M","-1.35%"
"06/08/2020","3,535.11","3,515.51","3,565.84","3,511.41","57.62M","-0.14%"
"06/05/2020","3,540.00","3,481.39","3,544.66","3,478.66","69.04M","2.61%"
"06/04/2020","3,449.89","3,412.57","3,469.36","3,392.97","60.88M","0.66%"
"06/03/2020","3,427.24","3,341.19","3,427.24","3,340.14","54.09M","3.22%"
"06/02/2020","3,320.42","3,288.84","3,332.61","3,269.31","46.68M","1.60%"
"06/01/2020","3,268.03","3,253.46","3,269.86","3,231.54","31.14M","2.03%"
"05/29/2020","3,202.95","3,243.54","3,257.97","3,194.71","65.35M","-2.41%"
"05/28/2020","3,281.90","3,263.31","3,294.97","3,251.76","48.37M","1.48%"
"05/27/2020","3,234.07","3,182.79","3,262.81","3,177.23","65.31M","2.17%"
"05/26/2020","3,165.46","3,041.98","3,175.61","3,038.91","47.10M","5.38%"
"05/25/2020","3,003.88","2,979.94","3,003.88","2,965.35","19.63M","1.39%"
"05/22/2020","2,962.73","2,905.19","2,979.41","2,891.84","40.34M","0.75%"
"05/21/2020","2,940.62","2,933.84","2,977.23","2,921.57","33.54M","-1.81%"
"05/20/2020","2,994.70","2,944.40","2,998.08","2,912.02","43.19M","1.14%"
"05/19/2020","2,960.89","3,048.82","3,056.41","2,936.37","46.54M","-2.17%"
"05/18/2020","3,026.69","2,970.73","3,029.29","2,948.83","43.44M","3.22%"
"05/15/2020","2,932.21","2,939.56","2,959.01","2,891.15","46.17M","1.13%"
"05/14/2020","2,899.51","2,917.04","2,939.06","2,852.89","50.10M","-2.50%"
"05/13/2020","2,973.77","3,024.30","3,029.68","2,973.77","39.51M","-3.07%"
"05/12/2020","3,067.80","3,050.09","3,078.90","3,045.37","37.41M","0.25%"
"05/11/2020","3,060.00","3,079.55","3,088.16","3,029.04","29.99M","0.04%"
"05/08/2020","3,058.66","3,101.29","3,101.29","3,047.23","41.09M","0.20%"
"05/07/2020","3,052.55","3,012.98","3,059.65","3,012.65","32.03M","1.80%"
"05/06/2020","2,998.46","3,013.59","3,036.54","2,989.61","33.22M","-0.26%"
"05/05/2020","3,006.29","3,012.52","3,020.12","2,962.39","37.19M","1.83%"
"05/04/2020","2,952.22","3,018.78","3,018.78","2,944.72","49.80M","-4.74%"
"04/30/2020","3,099.12","3,198.05","3,210.51","3,086.99","55.52M","-3.03%"
"04/29/2020","3,196.12","3,125.86","3,199.17","3,119.40","41.59M","2.40%"
"04/28/2020","3,121.32","3,040.33","3,122.12","3,033.83","48.35M","2.80%"
"04/27/2020","3,036.44","3,005.43","3,036.44","3,003.59","29.80M","3.18%"
"04/24/2020","2,942.98","2,968.64","2,987.47","2,938.94","40.43M","-2.48%"
"04/23/2020","3,017.76","2,970.99","3,038.18","2,940.82","31.97M","2.28%"
"04/22/2020","2,950.37","2,943.09","2,951.24","2,915.95","31.43M","1.45%"
"04/21/2020","2,908.09","2,983.53","2,983.53","2,908.09","35.72M","-3.76%"
"04/20/2020","3,021.85","3,035.82","3,038.52","2,978.20","35.77M","0.21%"
"04/17/2020","3,015.41","3,015.13","3,018.65","2,980.96","51.30M","3.09%"
"04/16/2020","2,925.16","2,964.17","2,980.56","2,925.16","49.19M","0.15%"
"04/15/2020","2,920.82","3,044.73","3,055.01","2,919.67","47.23M","-4.48%"
"04/14/2020","3,057.66","3,130.57","3,142.78","3,046.45","42.59M","-1.12%"
"04/09/2020","3,092.39","3,105.80","3,138.49","3,051.05","47.45M","1.21%"
"04/08/2020","3,055.32","3,029.06","3,055.32","3,009.86","34.30M","0.72%"
"04/07/2020","3,033.57","3,035.72","3,068.61","3,001.16","55.72M","2.15%"
"04/06/2020","2,969.80","2,964.96","2,982.17","2,934.19","52.75M","3.95%"
"04/03/2020","2,857.05","2,881.42","2,895.26","2,838.42","37.14M","-1.32%"
"04/02/2020","2,895.40","2,878.26","2,912.73","2,829.22","47.39M","1.97%"
"04/01/2020","2,839.42","2,836.54","2,866.08","2,820.73","58.43M","-2.14%"
"03/31/2020","2,901.58","2,863.64","2,930.23","2,856.53","70.06M","2.64%"
"03/30/2020","2,826.94","2,854.22","2,854.22","2,755.29","52.01M","-1.25%"
"03/27/2020","2,862.79","2,932.17","2,946.85","2,802.99","49.28M","-4.71%"
