"Date","Price","Open","High","Low","Vol.","Change %"
"11/27/2020","8,190.70","8,069.10","8,190.70","8,054.40","415.13M","1.06%"
"11/26/2020","8,104.60","8,184.80","8,184.90","8,086.70","218.32M","-0.74%"
"11/25/2020","8,164.70","8,172.40","8,199.90","8,084.40","294.45M","0.26%"
"11/24/2020","8,143.20","8,052.40","8,143.20","8,045.30","351.64M","2.03%"
"11/23/2020","7,981.20","8,029.10","8,067.30","7,972.20","278.31M","0.04%"
"11/20/2020","7,977.90","7,938.80","8,001.10","7,920.00","232.65M","0.60%"
"11/19/2020","7,930.20","7,907.20","7,978.80","7,863.90","261.61M","-0.64%"
"11/18/2020","7,981.50","7,914.10","7,994.30","7,888.70","296.39M","0.59%"
"11/17/2020","7,934.30","7,979.00","7,979.00","7,835.80","428.97M","-0.65%"
"11/16/2020","7,986.20","7,905.90","8,102.40","7,879.00","601.88M","2.60%"
"11/13/2020","7,783.70","7,698.60","7,823.10","7,686.20","297.81M","0.75%"
"11/12/2020","7,726.00","7,721.70","7,773.30","7,688.00","309.66M","-0.87%"
"11/11/2020","7,793.70","7,733.80","7,804.60","7,675.80","401.25M","1.07%"
"11/10/2020","7,711.40","7,447.10","7,720.30","7,439.50","705.61M","3.38%"
"11/09/2020","7,459.40","6,972.30","7,535.30","6,945.80","751.20M","8.57%"
"11/06/2020","6,870.40","6,890.60","6,940.40","6,829.40","206.31M","-0.78%"
"11/05/2020","6,924.20","6,833.50","6,948.30","6,814.20","255.82M","2.10%"
"11/04/2020","6,781.90","6,616.70","6,790.80","6,563.70","274.82M","0.45%"
"11/03/2020","6,751.60","6,636.10","6,760.80","6,608.70","281.85M","2.52%"
"11/02/2020","6,585.60","6,481.40","6,590.70","6,396.30","222.25M","2.07%"
"10/30/2020","6,452.20","6,351.40","6,461.60","6,345.30","260.71M","0.63%"
"10/29/2020","6,411.80","6,467.70","6,514.00","6,329.50","298.20M","-0.97%"
"10/28/2020","6,474.40","6,560.80","6,563.80","6,423.30","323.76M","-2.66%"
"10/27/2020","6,651.30","6,845.20","6,846.70","6,647.00","273.17M","-2.14%"
"10/26/2020","6,796.90","6,797.90","6,904.20","6,789.70","195.99M","-1.40%"
"10/23/2020","6,893.40","6,802.10","6,902.00","6,791.90","221.93M","1.42%"
